interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_flow;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapDensity;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;wizard_example;0;1.51;7;0;6.59;-1001479111;0;0;1.51;7;0.77;1.55;73.65;487.15;1.26;0.09;441.91;72.11;414.00
0.00;3600.00;wizard_example;0;1.85;2;24;25.95;-1001483388;0;0;1.85;26;0.93;1.88;57.23;1485.42;3.92;0.28;1069.08;56.35;958.00
0.00;3600.00;wizard_example;0;29.49;1;67;64.72;-1001483389;0;0;29.49;54;14.76;29.59;403.72;26042.55;0.62;0.04;24839.26;401.10;21618.00
0.00;3600.00;wizard_example;0;1.08;0;7;7.00;-1001487804;0;0;1.08;7;0.56;1.26;7.57;52.96;2.20;0.16;42.82;6.50;28.00
0.00;3600.00;wizard_example;0;0.40;7;0;6.72;-1001595481;0;0;0.40;7;0.21;0.42;29.05;195.59;4.61;0.33;125.78;27.70;103.00
0.00;3600.00;wizard_example;0;0.17;6;0;5.03;-1003939716;0;0;0.17;6;0.09;0.21;4.59;23.69;7.98;0.57;9.17;3.83;0.00
0.00;3600.00;wizard_example;0;0.21;6;1;6.03;-1003939717;0;0;0.21;7;0.11;0.26;4.71;29.02;7.72;0.56;11.60;3.88;0.00
0.00;3600.00;wizard_example;1;14.45;1;35;35.24;-1006861078#0;0;0;14.45;31;7.26;14.64;100.86;3517.48;0.71;0.05;3332.14;98.58;3117.00
0.00;3600.00;wizard_example;1;0.87;1;34;34.86;-1006861078#1;0;0;0.87;34;0.43;0.98;3.72;129.59;11.20;0.81;21.00;3.30;0.00
0.00;3600.00;wizard_example;1;0.30;2;8;9.99;-1008370364#0;0;0;0.30;9;0.15;0.30;131.64;1314.82;9.26;0.67;439.73;130.22;317.00
0.00;3600.00;wizard_example;0;0.21;6;2;7.14;-1008370364#1;0;0;0.21;8;0.11;0.25;4.49;32.54;9.02;0.65;7.18;3.82;0.00
0.00;3600.00;wizard_example;0;0.29;2;6;7.78;-1008370365#0;0;0;0.29;8;0.15;0.34;7.35;57.31;6.99;0.50;26.37;6.29;3.00
0.00;3600.00;wizard_example;0;0.16;7;0;6.79;-1008370366;0;0;0.16;7;0.08;0.17;15.47;105.22;11.52;0.83;16.71;14.67;0.00
0.00;3600.00;wizard_example;0;0.16;1;3;3.96;-1008370367#0;0;0;0.16;4;0.08;0.17;18.15;71.83;6.76;0.49;34.91;16.65;15.00
0.00;3600.00;wizard_example;0;0.17;8;0;7.72;-1008370367#1;0;0;0.17;8;0.09;0.18;12.39;95.76;12.18;0.88;6.20;11.74;0.00
0.00;3600.00;wizard_example;1;0.07;1;2;2.97;-1008370368;0;0;0.07;2;0.04;0.08;14.32;42.48;10.70;0.77;8.65;13.33;0.00
0.00;3600.00;wizard_example;0;0.22;9;0;7.79;-1008398766;0;0;0.22;9;0.12;0.27;4.62;36.67;9.30;0.67;7.42;3.92;0.00
