vType_id;vType_vClass;trip_depart;trip_departLane;trip_departSpeed;trip_from;trip_id;trip_to;trip_type
veh_passenger;passenger;;;;;;;
;;0.00;best;max;-1219040394;veh0;-220749755#2;veh_passenger
;;0.05;best;;27189538#1;veh1;-1101416596;veh_passenger
;;0.10;best;;-1393453470#0;veh2;-1046251134#1;veh_passenger
;;0.15;best;max;-1213511696;veh3;1055120466;veh_passenger
;;0.19;best;max;-1043559070;veh4;-158366236#19;veh_passenger
;;0.24;best;;1046482200#1;veh5;1107315639;veh_passenger
;;0.29;best;max;-1214501935;veh6;1217039067;veh_passenger
;;0.34;best;;1383759260;veh7;-1042241325#0;veh_passenger
;;0.39;best;max;1382304078;veh8;1381084649;veh_passenger
;;0.44;best;max;-1380681299;veh9;-1368622929#3;veh_passenger
;;0.49;best;;634859868#5;veh10;1041935623#1;veh_passenger
;;0.53;best;max;-1049878338#8;veh11;-1214249958;veh_passenger
;;0.58;best;max;1382974058;veh12;1385391871;veh_passenger
;;0.63;best;;-569543235#10;veh13;902926801;veh_passenger
;;0.68;best;max;-1385761621;veh14;1154699531;veh_passenger
;;0.73;best;max;1432204132;veh15;1218994327;veh_passenger
;;0.78;best;;199043536#3;veh16;1216159294#4;veh_passenger
;;0.83;best;;1088091733#1;veh17;-1049878342#3;veh_passenger
;;0.87;best;;-1216000771;veh18;-548937851#0;veh_passenger
;;0.92;best;max;-1049126458#1;veh19;-236722043#6;veh_passenger
;;0.97;best;max;-1050950548;veh20;-436667629#0;veh_passenger
;;1.02;best;;1044270618#1;veh21;1043565881#1;veh_passenger
;;1.07;best;;-1384921350#3;veh22;-172364987#16;veh_passenger
;;1.12;best;;-1218977703#3;veh23;690782623#1;veh_passenger
;;1.17;best;;1046397855;veh24;1218440519;veh_passenger
;;1.21;best;max;-1071860437;veh25;1385076394#1;veh_passenger
;;1.26;best;max;-1055120472;veh26;1044514935#0;veh_passenger
;;1.31;best;;902920471#10;veh27;1266165188#2;veh_passenger
;;1.36;best;;-690546150#1;veh28;1374401648;veh_passenger
;;1.41;best;;158366257#12;veh29;1392299982;veh_passenger
;;1.46;best;max;-1216004327#1;veh30;-1046478129#4;veh_passenger
;;1.50;best;max;-1366470557;veh31;-355216054#0;veh_passenger
