tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
80.00;27191050#3_1;46.82;17.24;6.00;0.71;-354298464#2_0;5.10;0.00;tripinfo_veh109 routing_veh109;74.00;veh109;1;989.98;0.96;0.00;18.99;veh_passenger;;0;0.00
97.00;1209159763#6_0;74.72;25.84;48.00;0.47;1214724117#0_0;0.20;0.00;tripinfo_veh979 routing_veh979;49.00;veh979;1;675.10;0.97;0.00;9.94;veh_passenger;;0;0.00
99.00;-1050556373_0;23.11;11.43;33.00;0.43;-131709941#16_0;5.10;0.00;tripinfo_veh671 routing_veh671;66.00;veh671;1;798.63;1.14;0.00;13.11;veh_passenger;;0;0.00
107.00;184750310#4_0;55.36;15.02;8.00;0.14;-1215282662_0;5.10;12.88;tripinfo_veh162 routing_veh162;99.00;veh162;1;1068.13;0.99;0.00;19.24;veh_passenger;;0;0.00
108.00;221615241#2_0;23.39;13.28;28.00;0.28;1042135581_0;5.10;0.00;tripinfo_veh571 routing_veh571;80.00;veh571;1;1110.38;1.03;0.00;17.83;veh_passenger;;0;0.00
113.00;319423444#4_0;80.35;10.31;28.00;0.62;-1046958047#1_0;5.10;11.58;tripinfo_veh564 routing_veh564;85.00;veh564;1;889.95;0.83;0.00;9.80;veh_passenger;;0;0.00
115.00;1369422629#1_0;15.61;10.69;48.00;0.62;-1218978435_0;5.10;11.84;tripinfo_veh976 routing_veh976;67.00;veh976;1;625.24;0.85;0.00;10.74;veh_passenger;;0;0.00
120.00;1216159294#4_0;31.43;11.68;1.00;0.22;199043536#3_0;5.10;0.00;tripinfo_veh16 routing_veh16;119.00;veh16;1;1359.66;0.88;0.00;27.81;veh_passenger;;0;0.00
138.00;1084005681#1_0;80.65;11.74;68.00;1.01;902985184#0_0;5.10;0.00;tripinfo_veh1380 routing_veh1380;70.00;veh1380;1;771.57;0.87;0.00;24.83;veh_passenger;;1;5.00
142.00;1391568185_0;22.52;12.28;13.00;0.28;-1050950557#1_0;5.10;12.68;tripinfo_veh262 routing_veh262;129.00;veh262;1;2277.15;1.04;0.00;26.17;veh_passenger;;0;0.00
144.00;585612364#0_0;0.20;5.09;23.00;0.62;-78594930#0_0;5.10;0.00;tripinfo_veh461 routing_veh461;121.00;veh461;1;2167.08;0.92;0.00;26.38;veh_passenger;;0;0.00
155.00;27191050#6_0;79.77;29.68;25.00;0.10;1084985553#0_0;5.10;0.00;tripinfo_veh513 routing_veh513;130.00;veh513;1;1877.35;1.07;0.00;35.98;veh_passenger;;0;0.00
156.00;-158366236#32_1;91.41;19.02;78.00;0.57;-1044462489#0_0;5.10;0.00;tripinfo_veh1595 routing_veh1595;78.00;veh1595;1;1509.35;0.97;0.00;19.26;veh_passenger;;1;1.00
160.00;321397536#3_0;117.90;13.57;26.00;0.46;1218447421#1_0;5.10;0.00;tripinfo_veh526 routing_veh526;134.00;veh526;1;1405.43;0.99;0.00;26.15;veh_passenger;;0;0.00
165.00;1042192060#1_0;10.88;10.04;55.00;0.63;-325440943#3_0;5.10;14.22;tripinfo_veh1120 routing_veh1120;110.00;veh1120;1;1162.20;1.02;0.00;38.35;veh_passenger;;0;0.00
166.00;1215015579_0;54.94;13.21;43.00;0.13;-1042208481_0;5.10;2.65;tripinfo_veh883 routing_veh883;123.00;veh883;1;1088.10;0.95;0.00;22.03;veh_passenger;;0;0.00
168.00;-1095350372#0_0;77.81;13.20;33.00;0.04;1050015294#2_0;5.10;0.00;tripinfo_veh679 routing_veh679;135.00;veh679;1;1578.79;0.99;0.00;21.09;veh_passenger;;0;0.00
171.00;-924066824#2_0;80.96;13.57;12.00;0.20;-1202905642_0;5.10;13.75;tripinfo_veh243 routing_veh243;159.00;veh243;1;2202.01;0.99;0.00;41.81;veh_passenger;;2;8.00
174.00;1383726010_0;47.63;11.86;30.00;0.63;-1381895914#1_0;5.10;12.77;tripinfo_veh605 routing_veh605;144.00;veh605;1;1591.32;0.92;0.00;19.63;veh_passenger;;0;0.00
179.00;1381084653#4_0;264.43;11.81;31.00;0.95;695574108#2_0;5.10;0.00;tripinfo_veh619 routing_veh619;148.00;veh619;1;1566.41;0.90;0.00;23.38;veh_passenger;;0;0.00
181.00;-158366236#34_1;64.88;28.48;34.00;0.26;-1044570810#1_0;5.10;14.75;tripinfo_veh695 routing_veh695;147.00;veh695;1;3182.75;1.06;0.00;22.48;veh_passenger;;0;0.00
187.00;-1046908819#0_0;28.94;12.45;96.00;0.41;-1057796822#0_0;5.10;0.00;tripinfo_veh1969 routing_veh1969;91.00;veh1969;1;1142.34;0.95;0.00;14.16;veh_passenger;;0;0.00
189.00;-1042171936#1_0;31.98;12.21;89.00;0.45;-1053907521#1_0;5.10;13.29;tripinfo_veh1824 routing_veh1824;100.00;veh1824;1;1134.43;0.96;0.00;11.58;veh_passenger;;0;0.00
189.00;321304377#7_0;36.31;6.12;114.00;0.89;902523963#2_0;0.20;0.00;tripinfo_veh2330 routing_veh2330;75.00;veh2330;1;1023.08;1.01;0.00;19.62;veh_passenger;;0;0.00
194.00;569543235#12_0;40.13;10.42;41.00;0.12;-1071860473_0;5.10;10.93;tripinfo_veh842 routing_veh842;153.00;veh842;1;2557.09;0.79;0.00;18.51;veh_passenger;;0;0.00
195.00;-1071872413#1_0;128.77;13.94;16.00;0.22;-1071865158#0_0;5.10;0.00;tripinfo_veh325 routing_veh325;179.00;veh325;1;3318.33;1.01;0.00;25.18;veh_passenger;;0;0.00
195.00;684343791#0_0;105.81;10.98;19.00;0.55;-1391551125#1_0;5.10;11.83;tripinfo_veh380 routing_veh380;176.00;veh380;1;3234.10;0.85;0.00;16.00;veh_passenger;;0;0.00
197.00;-379260345#7_0;15.90;8.04;11.00;0.37;1042896337#0_0;5.10;0.00;tripinfo_veh219 routing_veh219;186.00;veh219;1;2679.80;0.91;0.00;23.78;veh_passenger;;1;4.00
198.00;849848482#1_0;59.68;13.45;12.00;0.74;172366588#7_1;5.10;0.00;tripinfo_veh232 routing_veh232;186.00;veh232;1;3538.48;0.97;0.00;27.61;veh_passenger;;0;0.00
200.00;321399398#4_0;10.94;12.07;48.00;0.42;-260126083#1_0;5.10;2.57;tripinfo_veh980 routing_veh980;152.00;veh980;1;1837.44;0.92;0.00;31.51;veh_passenger;;1;3.00
202.00;-1042192054#1_0;82.43;13.55;10.00;0.10;1047637760_0;5.10;0.00;tripinfo_veh204 routing_veh204;192.00;veh204;1;2648.56;1.07;0.00;72.46;veh_passenger;;1;5.00
205.00;1380681299_0;320.17;13.72;115.00;0.87;44770274#3_1;5.10;0.00;tripinfo_veh2351 routing_veh2351;90.00;veh2351;1;1062.82;1.00;0.00;22.68;veh_passenger;;0;0.00
207.00;-858852306#2_0;64.81;14.40;47.00;0.15;1366114241_0;5.10;0.00;tripinfo_veh965 routing_veh965;160.00;veh965;1;2537.19;1.05;0.00;43.80;veh_passenger;;1;12.00
207.00;-446754553#7_0;23.61;12.26;126.00;0.75;-1054260677#0_0;5.10;0.00;tripinfo_veh2580 routing_veh2580;81.00;veh2580;1;746.73;0.89;0.00;22.68;veh_passenger;;1;4.00
208.00;315595435#21_0;81.02;18.29;8.00;0.18;221615232#1_0;5.10;0.00;tripinfo_veh161 routing_veh161;200.00;veh161;1;3868.12;1.08;0.00;50.89;veh_passenger;;0;0.00
211.00;1092185213_0;181.57;13.82;129.00;0.30;1358318481_0;5.10;14.49;tripinfo_veh2651 routing_veh2651;82.00;veh2651;1;954.02;1.04;0.00;13.30;veh_passenger;;0;0.00
212.00;898458124#0_0;62.66;14.29;61.00;0.56;-1386544612#2_0;5.10;15.21;tripinfo_veh1245 routing_veh1245;151.00;veh1245;1;1780.36;1.10;0.00;37.31;veh_passenger;;1;4.00
213.00;849845955#1_0;58.08;15.19;35.00;0.14;1054401202_0;5.10;0.00;tripinfo_veh718 routing_veh718;178.00;veh718;1;3504.04;1.14;0.00;29.08;veh_passenger;;0;0.00
214.00;1053907523_0;37.02;13.36;30.00;0.97;-355212036#11_0;5.10;0.00;tripinfo_veh598 routing_veh598;184.00;veh598;1;2998.75;1.11;0.00;53.35;veh_passenger;;1;4.00
216.00;548937830#0_0;29.79;13.79;142.00;3.30;548937819_0;5.10;0.00;tripinfo_veh2857 routing_veh2857;74.00;veh2857;1;691.49;1.11;0.00;27.79;veh_passenger;;1;13.00
218.00;1388932827_0;49.89;15.84;12.00;0.79;-1383245449#0_0;5.10;0.00;tripinfo_veh231 routing_veh231;206.00;veh231;1;4274.75;1.14;0.00;43.48;veh_passenger;;0;0.00
218.00;-1212737393_0;70.53;16.19;70.00;0.09;313817439#3_0;5.10;0.00;tripinfo_veh1440 routing_veh1440;148.00;veh1440;1;2107.92;1.17;0.00;37.49;veh_passenger;;0;0.00
220.00;630853831#1_0;37.37;13.33;138.00;0.90;-1055131831#1_0;5.10;14.33;tripinfo_veh2824 routing_veh2824;82.00;veh2824;1;1200.61;1.03;0.00;13.97;veh_passenger;;0;0.00
221.00;-132062636#3_0;56.95;13.25;73.00;0.67;-1391535803_0;5.10;14.05;tripinfo_veh1490 routing_veh1490;148.00;veh1490;1;2605.88;1.01;0.00;24.25;veh_passenger;;0;0.00
221.00;-569543235#11_0;96.72;13.71;84.00;0.16;1042419276_0;5.10;0.00;tripinfo_veh1727 routing_veh1727;137.00;veh1727;1;2658.45;1.07;0.00;25.52;veh_passenger;;0;0.00
222.00;27189538#0_0;121.24;20.80;82.00;0.78;163371017#1_0;5.10;0.00;tripinfo_veh1673 routing_veh1673;140.00;veh1673;1;2159.40;0.95;0.00;32.80;veh_passenger;;0;0.00
223.00;1085504231#1_0;22.29;15.28;48.00;0.08;-1386036112_0;5.10;15.45;tripinfo_veh987 routing_veh987;175.00;veh987;1;3000.76;1.11;0.00;29.64;veh_passenger;;0;0.00
224.00;-188038434#1_0;76.83;18.92;108.00;0.91;-804483255#1_0;5.10;15.10;tripinfo_veh2206 routing_veh2206;116.00;veh2206;1;2428.82;1.09;0.00;8.61;veh_passenger;;0;0.00
224.00;1049113088_0;163.13;13.23;132.00;0.73;260126093#0_0;5.10;14.51;tripinfo_veh2704 routing_veh2704;92.00;veh2704;1;1525.31;1.04;0.00;11.27;veh_passenger;;0;0.00
225.00;-158370288#20_0;96.09;19.89;84.00;0.21;1043813744_0;5.10;0.00;tripinfo_veh1726 routing_veh1726;141.00;veh1726;1;2153.26;1.16;0.00;32.66;veh_passenger;;0;0.00
225.00;355391701#2_0;158.88;14.26;157.00;0.87;-318725571#0_0;5.10;0.00;tripinfo_veh3216 routing_veh3216;68.00;veh3216;1;940.73;1.08;0.00;16.46;veh_passenger;;0;0.00
227.00;1044700297#1_0;15.04;10.40;20.00;0.97;1384538927_0;5.10;0.00;tripinfo_veh392 routing_veh392;207.00;veh392;1;3075.44;1.00;0.00;46.60;veh_passenger;;1;2.00
229.00;988553239_0;742.11;13.74;25.00;0.24;-1370252434_0;5.10;13.97;tripinfo_veh510 routing_veh510;204.00;veh510;1;2913.91;1.01;0.00;27.90;veh_passenger;;0;0.00
229.00;-1379642418#1_0;223.12;12.71;71.00;0.95;518504798_0;5.10;13.19;tripinfo_veh1443 routing_veh1443;158.00;veh1443;1;2167.41;0.95;0.00;38.23;veh_passenger;;0;0.00
229.00;1044514929_0;91.58;13.79;106.00;0.90;1044514918_0;5.10;0.00;tripinfo_veh2165 routing_veh2165;123.00;veh2165;1;1350.90;1.07;0.00;34.31;veh_passenger;;1;2.00
230.00;-569569894_0;39.47;16.82;91.00;0.66;1216923851_0;5.10;17.84;tripinfo_veh1861 routing_veh1861;139.00;veh1861;1;2113.36;1.28;0.00;18.10;veh_passenger;;0;0.00
